GEO_ID_2,_x,_y
1400000US11001007407,204,204
1400000US11001007409,124,124
1400000US11001007502,350,350
1400000US11001007503,104,104
1400000US11001007504,189,189
1400000US11001007603,660,660
1400000US11001007604,676,676
1400000US11001007605,440,440
1400000US11001007707,680,680
1400000US11001007708,247,247
1400000US11001007709,278,278
1400000US11001007803,426,426
1400000US11001007804,488,488
1400000US11001007807,262,262
1400000US11001007808,295,295
1400000US11001007809,246,246
1400000US11001007903,295,295
1400000US11001008001,275,275
1400000US11001008002,264,264
1400000US11001008200,197,197
1400000US11001008301,133,133
1400000US11001008402,313,313
1400000US11001008410,122,122
1400000US11001008701,225,225
1400000US11001008802,733,733
1400000US11001008803,62,62
1400000US11001008804,338,338
1400000US11001008903,238,238
1400000US11001009000,756,756
1400000US11001009102,479,479
1400000US11001009201,139,139
1400000US11001009204,461,461
1400000US11001000100,854,854
1400000US11001000201,0,0
1400000US11001000400,241,241
1400000US11001000702,289,289
1400000US11001001002,280,280
1400000US11001001401,409,409
1400000US11001001702,397,397
1400000US11001002201,493,493
1400000US11001002501,420,420
1400000US11001002801,266,266
1400000US11001002900,213,213
1400000US11001003301,176,176
1400000US11001003600,269,269
1400000US11001004002,227,227
1400000US11001004202,177,177
1400000US11001004702,221,221
1400000US11001004901,143,143
1400000US11001005600,1000,1000
1400000US11001006400,187,187
1400000US11001006801,103,103
1400000US11001007100,192,192
1400000US11001007403,165,165
1400000US11001007408,135,135
1400000US11001007601,503,503
1400000US11001007703,433,433
1400000US11001007806,197,197
1400000US11001007901,374,374
1400000US11001008302,119,119
1400000US11001008702,198,198
1400000US11001008904,398,398
1400000US11001009203,252,252
1400000US11001009302,141,141
1400000US11001009504,692,692
1400000US11001009509,778,778
1400000US11001009602,197,197
1400000US11001009603,527,527
1400000US11001009604,446,446
1400000US11001009700,228,228
1400000US11001009802,123,123
1400000US11001009807,384,384
1400000US11001009904,106,106
1400000US11001009906,187,187
1400000US11001010500,368,368
1400000US11001010800,105,105
1400000US11001000202,497,497
1400000US11001000300,509,509
1400000US11001000501,227,227
1400000US11001000502,361,361
1400000US11001000600,1302,1302
1400000US11001000701,1231,1231
1400000US11001000802,383,383
1400000US11001000901,774,774
1400000US11001000902,257,257
1400000US11001001001,1060,1060
1400000US11001001100,651,651
1400000US11001001200,623,623
1400000US11001001301,683,683
1400000US11001001302,950,950
1400000US11001001402,745,745
1400000US11001001500,1267,1267
1400000US11001001600,934,934
1400000US11001001803,442,442
1400000US11001001804,402,402
1400000US11001001901,663,663
1400000US11001002001,308,308
1400000US11001002002,632,632
1400000US11001002101,511,511
1400000US11001002102,795,795
1400000US11001002202,341,341
1400000US11001002301,401,401
1400000US11001002302,746,746
1400000US11001002400,644,644
1400000US11001002502,526,526
1400000US11001002600,392,392
1400000US11001002701,378,378
1400000US11001002702,376,376
1400000US11001002802,315,315
1400000US11001003000,177,177
1400000US11001003100,287,287
1400000US11001003200,415,415
1400000US11001003302,97,97
1400000US11001003400,276,276
1400000US11001003500,266,266
1400000US11001003700,264,264
1400000US11001003800,250,250
1400000US11001003900,231,231
1400000US11001004001,315,315
1400000US11001004100,480,480
1400000US11001004201,133,133
1400000US11001004300,358,358
1400000US11001004400,280,280
1400000US11001004600,191,191
1400000US11001004701,314,314
1400000US11001004801,258,258
1400000US11001004802,292,292
1400000US11001004902,38,38
1400000US11001005001,77,77
1400000US11001005002,485,485
1400000US11001005201,391,391
1400000US11001005301,352,352
1400000US11001005500,460,460
1400000US11001005800,265,265
1400000US11001005900,306,306
1400000US11001006202,0,0
1400000US11001006500,221,221
1400000US11001006600,224,224
1400000US11001006700,392,392
1400000US11001006802,230,230
1400000US11001006804,21,21
1400000US11001006900,194,194
1400000US11001007000,169,169
1400000US11001007200,213,213
1400000US11001007301,11,11
1400000US11001007304,293,293
1400000US11001007401,163,163
1400000US11001007404,104,104
1400000US11001007406,189,189
1400000US11001009301,584,584
1400000US11001009400,771,771
1400000US11001009501,359,359
1400000US11001009503,764,764
1400000US11001009505,644,644
1400000US11001009507,410,410
1400000US11001009508,784,784
1400000US11001009601,158,158
1400000US11001009801,83,83
1400000US11001009803,197,197
1400000US11001009804,204,204
1400000US11001009810,117,117
1400000US11001009811,267,267
1400000US11001009901,542,542
1400000US11001009902,513,513
1400000US11001009903,253,253
1400000US11001009905,304,304
1400000US11001009907,293,293
1400000US11001010100,186,186
1400000US11001010200,545,545
1400000US11001010300,344,344
1400000US11001010400,234,234
1400000US11001010600,369,369
1400000US11001010700,114,114
1400000US11001010900,114,114
1400000US11001011000,813,813
1400000US11001011100,959,959
1400000US11001001902,490,490
1400000US11001008100,129,129
1400000US11001000801,1244,1244
